t_ms,ax,ay,az,gx,gy,gz
7680198,-0.01904296875,-0.0106201171875,1.000244140625,2.13623046875,2.25830078125,3.173828125
7680207,-0.0185546875,-0.0096435546875,0.999755859375,2.01416015625,2.13623046875,3.11279296875
7680215,-0.0194091796875,-0.0106201171875,0.9993896484375,2.0751953125,2.13623046875,3.0517578125
7680224,-0.0203857421875,-0.0101318359375,0.9991455078125,2.01416015625,2.25830078125,3.11279296875
7680232,-0.0198974609375,-0.01171875,0.9986572265625,1.89208984375,2.13623046875,3.173828125
7680241,-0.0189208984375,-0.009765625,0.9991455078125,2.01416015625,2.197265625,3.173828125
7680249,-0.019287109375,-0.0103759765625,1.0001220703125,1.953125,2.25830078125,3.0517578125
7680258,-0.0196533203125,-0.0096435546875,0.999755859375,2.01416015625,2.197265625,3.173828125
7680267,-0.0198974609375,-0.0096435546875,0.9990234375,2.0751953125,2.25830078125,3.41796875
7680275,-0.0198974609375,-0.00927734375,0.9998779296875,2.25830078125,2.25830078125,3.23486328125
7680283,-0.0186767578125,-0.010009765625,0.9996337890625,2.197265625,2.0751953125,3.41796875
7680292,-0.0189208984375,-0.010009765625,0.998291015625,1.953125,2.13623046875,3.35693359375
7680302,-0.0181884765625,-0.010986328125,0.99951171875,1.89208984375,2.197265625,3.173828125
7680309,-0.0191650390625,-0.010498046875,0.998779296875,2.01416015625,2.25830078125,3.173828125
7680318,-0.01904296875,-0.0107421875,0.999267578125,2.01416015625,2.25830078125,3.173828125
7680326,-0.0201416015625,-0.0101318359375,0.9989013671875,2.01416015625,2.13623046875,3.23486328125
7680335,-0.0198974609375,-0.01171875,0.9996337890625,2.01416015625,2.13623046875,3.2958984375
7680343,-0.0206298828125,-0.0107421875,0.99951171875,1.89208984375,2.0751953125,3.173828125
7680352,-0.0201416015625,-0.0108642578125,0.9990234375,2.01416015625,2.25830078125,3.11279296875
7680360,-0.020751953125,-0.010498046875,0.9991455078125,2.01416015625,2.25830078125,3.173828125
7680369,-0.0211181640625,-0.01025390625,0.999267578125,1.89208984375,2.197265625,3.173828125
